Approved symbol	Approved name	Locus type
RPSAP74	ribosomal protein SA pseudogene 74	pseudogene
RPSAP75	ribosomal protein SA pseudogene 75	pseudogene
RPSAP76	ribosomal protein SA pseudogene 76	pseudogene
RPTN	repetin	gene with protein product
RPTOR	regulatory associated protein of MTOR complex 1	gene with protein product
RPU1	symbol withdrawn, see [HGNC:11150](/data/gene-symbol-report/#!/hgnc_id/HGNC:11150)	unknown
RPUSD1	RNA pseudouridine synthase domain containing 1	gene with protein product
RPUSD2	RNA pseudouridine synthase domain containing 2	gene with protein product
RPUSD3	RNA pseudouridine synthase D3	gene with protein product
RPUSD4	RNA pseudouridine synthase D4	gene with protein product
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	gene with protein product
RRAGA	Ras related GTP binding A	gene with protein product
RRAGAP1	Ras related GTP binding A pseudogene 1	pseudogene
RRAGB	Ras related GTP binding B	gene with protein product
RRAGC	Ras related GTP binding C	gene with protein product
RRAGD	Ras related GTP binding D	gene with protein product
RRAS	RAS related	gene with protein product
RRAS2	RAS related 2	gene with protein product
RRAS2P1	RRAS2 pseudogene 1	pseudogene
RRAS2P2	RRAS2 pseudogene 2	pseudogene
RRBP1	ribosome binding protein 1	gene with protein product
RREB1	ras responsive element binding protein 1	gene with protein product
RRH	retinal pigment epithelium-derived rhodopsin homolog	gene with protein product
RRM1	ribonucleotide reductase catalytic subunit M1	gene with protein product
RRM1-AS1	RRM1 antisense RNA 1	RNA, long non-coding
RRM2	ribonucleotide reductase regulatory subunit M2	gene with protein product
RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	gene with protein product
RRM2P1	ribonucleotide reductase M2 polypeptide pseudogene 1	pseudogene
RRM2P2	ribonucleotide reductase M2 polypeptide pseudogene 2	pseudogene
RRM2P3	ribonucleotide reductase M2 polypeptide pseudogene 3	pseudogene
RRM2P4	ribonucleotide reductase M2 polypeptide pseudogene 4	pseudogene
RRN3	RRN3 homolog, RNA polymerase I transcription factor	gene with protein product
RRN3P1	RRN3 pseudogene 1	pseudogene
RRN3P2	RRN3 pseudogene 2	pseudogene
RRN3P3	RRN3 pseudogene 3	pseudogene
RRN3P4	RRN3 pseudogene 4	pseudogene
RRNAD1	ribosomal RNA adenine dimethylase domain containing 1	gene with protein product
RRP1	ribosomal RNA processing 1	gene with protein product
RRP1B	ribosomal RNA processing 1B	gene with protein product
RRP7A	ribosomal RNA processing 7 homolog A	gene with protein product
RRP7BP	ribosomal RNA processing 7 homolog B, pseudogene	pseudogene
RRP8	ribosomal RNA processing 8	gene with protein product
RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	gene with protein product
RRP12	ribosomal RNA processing 12 homolog	gene with protein product
RRP15	ribosomal RNA processing 15 homolog	gene with protein product
RRP36	ribosomal RNA processing 36	gene with protein product
RRS1	ribosome biogenesis regulator 1 homolog	gene with protein product
RRS1-AS1	RRS1 antisense RNA 1 (head to head)	RNA, long non-coding
RS1	retinoschisin 1	gene with protein product
RSAD1	radical S-adenosyl methionine domain containing 1	gene with protein product
RSAD2	radical S-adenosyl methionine domain containing 2	gene with protein product
RSBN1	round spermatid basic protein 1	gene with protein product
RSBN1L	round spermatid basic protein 1 like	gene with protein product
RSC1A1	regulator of solute carriers 1	gene with protein product
RSE	symbol withdrawn, see [HGNC:12446](/data/gene-symbol-report/#!/hgnc_id/HGNC:12446)	unknown
RSF1	remodeling and spacing factor 1	gene with protein product
RSF1-IT1	RSF1 intronic transcript 1	RNA, long non-coding
RSF1-IT2	RSF1 intronic transcript 2	RNA, long non-coding
RSKR	ribosomal protein S6 kinase related	gene with protein product
RSL1D1	ribosomal L1 domain containing 1	gene with protein product
RSL24D1	ribosomal L24 domain containing 1	gene with protein product
RSL24D1P1	ribosomal L24 domain containing 1 pseudogene 1	pseudogene
RSL24D1P2	ribosomal L24 domain containing 1 pseudogene 2	pseudogene
RSL24D1P3	ribosomal L24 domain containing 1 pseudogene 3	pseudogene
RSL24D1P4	ribosomal L24 domain containing 1 pseudogene 4	pseudogene
RSL24D1P5	ribosomal L24 domain containing 1 pseudogene 5	pseudogene
RSL24D1P6	ribosomal L24 domain containing 1 pseudogene 6	pseudogene
RSL24D1P7	ribosomal L24 domain containing 1 pseudogene 7	pseudogene
RSL24D1P8	ribosomal L24 domain containing 1 pseudogene 8	pseudogene
RSL24D1P9	ribosomal L24 domain containing 1 pseudogene 9	pseudogene
RSL24D1P10	ribosomal L24 domain containing 1 pseudogene 10	pseudogene
RSL24D1P11	ribosomal L24 domain containing 1 pseudogene 11	pseudogene
RSMD1	symbol withdrawn, see [HGNC:15999](/data/gene-symbol-report/#!/hgnc_id/HGNC:15999)	phenotype only
RSPH1	radial spoke head component 1	gene with protein product
RSPH3	radial spoke head 3	gene with protein product
RSPH4A	radial spoke head component 4A	gene with protein product
RSPH6A	radial spoke head 6 homolog A	gene with protein product
RSPH9	radial spoke head component 9	gene with protein product
RSPH10B	radial spoke head 10 homolog B	gene with protein product
RSPH10B2	radial spoke head 10 homolog B2	gene with protein product
RSPH14	radial spoke head 14 homolog	gene with protein product
RSPO1	R-spondin 1	gene with protein product
RSPO2	R-spondin 2	gene with protein product
RSPO3	R-spondin 3	gene with protein product
RSPO4	R-spondin 4	gene with protein product
RSPRY1	ring finger and SPRY domain containing 1	gene with protein product
RSRC1	arginine and serine rich coiled-coil 1	gene with protein product
RSRC2	arginine and serine rich coiled-coil 2	gene with protein product
RSRP1	arginine and serine rich protein 1	gene with protein product
RSS	Russell Silver syndrome	phenotype only
RSTS	symbol withdrawn, see [HGNC:2348](/data/gene-symbol-report/#!/hgnc_id/HGNC:2348)	unknown
RSU1	Ras suppressor protein 1	gene with protein product
RSU1P1	Ras suppressor protein 1 pseudogene 1	pseudogene
RSU1P2	Ras suppressor protein 1 pseudogene 2	pseudogene
RSU1P3	Ras suppressor protein 1 pseudogene 3	pseudogene
RTA1C	symbol withdrawn, see [HGNC:866](/data/gene-symbol-report/#!/hgnc_id/HGNC:866)	unknown
RTBDN	retbindin	gene with protein product
RTCA	RNA 3'-terminal phosphate cyclase	gene with protein product
RTCA-AS1	RTCA antisense RNA 1	RNA, long non-coding
RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase	gene with protein product
RTEL1	regulator of telomere elongation helicase 1	gene with protein product
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	readthrough
RTEL1P1	regulator of telomere elongation helicase 1 pseudogene 1	pseudogene
RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component	gene with protein product
RTF2	replication termination factor 2	gene with protein product
RTKN	rhotekin	gene with protein product
RTKN2	rhotekin 2	gene with protein product
RTL1	retrotransposon Gag like 1	gene with protein product
RTL3	retrotransposon Gag like 3	gene with protein product
RTL4	retrotransposon Gag like 4	gene with protein product
RTL5	retrotransposon Gag like 5	gene with protein product
RTL6	retrotransposon Gag like 6	gene with protein product
RTL8A	retrotransposon Gag like 8A	gene with protein product
RTL8B	retrotransposon Gag like 8B	gene with protein product
RTL8C	retrotransposon Gag like 8C	gene with protein product
RTL9	retrotransposon Gag like 9	gene with protein product
RTL10	retrotransposon Gag like 10	gene with protein product
RTN1	reticulon 1	gene with protein product
RTN2	reticulon 2	gene with protein product
RTN3	reticulon 3	gene with protein product
RTN3P1	reticulon 3 pseudogene 1	pseudogene
RTN4	reticulon 4	gene with protein product
RTN4IP1	reticulon 4 interacting protein 1	gene with protein product
RTN4R	reticulon 4 receptor	gene with protein product
RTN4RL1	reticulon 4 receptor like 1	gene with protein product
RTN4RL2	reticulon 4 receptor like 2	gene with protein product
RTP1	receptor transporter protein 1	gene with protein product
RTP2	receptor transporter protein 2	gene with protein product
RTP3	receptor transporter protein 3	gene with protein product
RTP4	receptor transporter protein 4	gene with protein product
RTP5	receptor transporter protein 5 (putative)	gene with protein product
RTRAF	RNA transcription, translation and transport factor	gene with protein product
RTRAFP1	RTRAF pseudogene 1	pseudogene
RTRAFP2	RTRAF pseudogene 2	pseudogene
RTT	symbol withdrawn, see [HGNC:6990](/data/gene-symbol-report/#!/hgnc_id/HGNC:6990)	unknown
RTTN	rotatin	gene with protein product
RUBCN	rubicon autophagy regulator	gene with protein product
RUBCNL	rubicon like autophagy enhancer	gene with protein product
RUFY1	RUN and FYVE domain containing 1	gene with protein product
RUFY2	RUN and FYVE domain containing 2	gene with protein product
RUFY3	RUN and FYVE domain containing 3	gene with protein product
RUFY4	RUN and FYVE domain containing 4	gene with protein product
RUNDC1	RUN domain containing 1	gene with protein product
RUNDC2A	symbol withdrawn, see [HGNC:30542](/data/gene-symbol-report/#!/hgnc_id/HGNC:30542)	gene with protein product
RUNDC3A	RUN domain containing 3A	gene with protein product
RUNDC3A-AS1	RUNDC3A antisense RNA 1	RNA, long non-coding
RUNDC3B	RUN domain containing 3B	gene with protein product
RUNX1	RUNX family transcription factor 1	gene with protein product
RUNX1-IT1	RUNX1 intronic transcript 1	RNA, long non-coding
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	gene with protein product
RUNX2	RUNX family transcription factor 2	gene with protein product
RUNX2-AS1	RUNX2 antisense RNA 1	RNA, long non-coding
RUNX3	RUNX family transcription factor 3	gene with protein product
RUSC1	RUN and SH3 domain containing 1	gene with protein product
RUSC1-AS1	RUSC1 antisense RNA 1	RNA, long non-coding
RUSC2	RUN and SH3 domain containing 2	gene with protein product
RUVBL1	RuvB like AAA ATPase 1	gene with protein product
RUVBL1-AS1	RUVBL1 antisense RNA 1	RNA, long non-coding
RUVBL2	RuvB like AAA ATPase 2	gene with protein product
RVNP2	retroviral sequences NP2	endogenous retrovirus
RWDD1	RWD domain containing 1	gene with protein product
RWDD1P1	RWD domain containing 1 pseudogene 1	pseudogene
RWDD1P3	RWD domain containing 1 pseudogene 3	pseudogene
RWDD2A	RWD domain containing 2A	gene with protein product
RWDD2B	RWD domain containing 2B	gene with protein product
RWDD3	RWD domain containing 3	gene with protein product
RWDD4	RWD domain containing 4	gene with protein product
RWDD4P1	RWD domain containing 4 pseudogene 1	pseudogene
RWDD4P2	RWD domain containing 4 pseudogene 2	pseudogene
RXFP1	relaxin family peptide receptor 1	gene with protein product
RXFP2	relaxin family peptide receptor 2	gene with protein product
RXFP3	relaxin family peptide receptor 3	gene with protein product
RXFP4	relaxin family peptide/INSL5 receptor 4	gene with protein product
RXRA	retinoid X receptor alpha	gene with protein product
RXRB	retinoid X receptor beta	gene with protein product
RXRG	retinoid X receptor gamma	gene with protein product
RXYLT1	ribitol xylosyltransferase 1	gene with protein product
RXYLT1-AS1	RXYLT1 antisense RNA 1	RNA, long non-coding
RYBP	RING1 and YY1 binding protein	gene with protein product
RYK	receptor like tyrosine kinase	gene with protein product
RYKP1	RYK pseudogene 1	pseudogene
RYR1	ryanodine receptor 1	gene with protein product
RYR2	ryanodine receptor 2	gene with protein product
RYR3	ryanodine receptor 3	gene with protein product
S1PR1	sphingosine-1-phosphate receptor 1	gene with protein product
S1PR2	sphingosine-1-phosphate receptor 2	gene with protein product
S1PR3	sphingosine-1-phosphate receptor 3	gene with protein product
S1PR4	sphingosine-1-phosphate receptor 4	gene with protein product
S1PR5	sphingosine-1-phosphate receptor 5	gene with protein product
S7	surface antigen (chromosome 7) 2	unknown
S8	surface antigen (chromosome 12) 1	unknown
S9	surface antigen (chromosome 17) 1	unknown
S11	surface antigen (X-linked) 2	unknown
S12	surface antigen (X-linked) 3	unknown
S13	surface antigen (chromosome 22)	unknown
S14	surface antigen (chromosome 21)	unknown
S100A1	S100 calcium binding protein A1	gene with protein product
S100A2	S100 calcium binding protein A2	gene with protein product
S100A3	S100 calcium binding protein A3	gene with protein product
S100A4	S100 calcium binding protein A4	gene with protein product
S100A5	S100 calcium binding protein A5	gene with protein product
S100A6	S100 calcium binding protein A6	gene with protein product
S100A7	S100 calcium binding protein A7	gene with protein product
S100A7A	S100 calcium binding protein A7A	gene with protein product
S100A7L2	S100 calcium binding protein A7 like 2	unknown
S100A7P1	S100 calcium binding protein A7 pseudogene 1	pseudogene
S100A7P2	S100 calcium binding protein A7 pseudogene 2	pseudogene
S100A8	S100 calcium binding protein A8	gene with protein product
S100A9	S100 calcium binding protein A9	gene with protein product
S100A10	S100 calcium binding protein A10	gene with protein product
S100A11	S100 calcium binding protein A11	gene with protein product
S100A11P1	S100 calcium binding protein A11 pseudogene 1	pseudogene
S100A11P2	S100 calcium binding protein A11 pseudogene 2	pseudogene
S100A11P3	S100 calcium binding protein A11 pseudogene 3	pseudogene
S100A11P4	S100 calcium binding protein A11 pseudogene 4	pseudogene
S100A12	S100 calcium binding protein A12	gene with protein product
S100A13	S100 calcium binding protein A13	gene with protein product
S100A14	S100 calcium binding protein A14	gene with protein product
S100A15A	S100 calcium binding protein A15A (pseudogene)	pseudogene
S100A16	S100 calcium binding protein A16	gene with protein product
S100B	S100 calcium binding protein B	gene with protein product
S100D	symbol withdrawn, see [HGNC:10495](/data/gene-symbol-report/#!/hgnc_id/HGNC:10495)	unknown
S100E	symbol withdrawn, see [HGNC:10493](/data/gene-symbol-report/#!/hgnc_id/HGNC:10493)	unknown
S100G	S100 calcium binding protein G	gene with protein product
S100L	symbol withdrawn, see [HGNC:10492](/data/gene-symbol-report/#!/hgnc_id/HGNC:10492)	unknown
S100P	S100 calcium binding protein P	gene with protein product
S100PBP	S100P binding protein	gene with protein product
S100Z	S100 calcium binding protein Z	gene with protein product
SAA@	serum amyloid A1 cluster	region
SAA1	serum amyloid A1	gene with protein product
SAA2	serum amyloid A2	gene with protein product
SAA2-SAA4	SAA2-SAA4 readthrough	readthrough
SAA3P	serum amyloid A3, pseudogene	pseudogene
SAA4	serum amyloid A4, constitutive	gene with protein product
SAA5	serum amyloid A5	unknown
SAAL1	serum amyloid A like 1	gene with protein product
SAC3D1	SAC3 domain containing 1	gene with protein product
SACM1L	SAC1 like phosphatidylinositide phosphatase	gene with protein product
SACS	sacsin molecular chaperone	gene with protein product
SACS-AS1	SACS antisense RNA 1	RNA, long non-coding
SAE1	SUMO1 activating enzyme subunit 1	gene with protein product
SAFB	scaffold attachment factor B	gene with protein product
SAFB2	scaffold attachment factor B2	gene with protein product
SAG	S-antigen visual arrestin	gene with protein product
SAGE1	sarcoma antigen 1	gene with protein product
SAGE2P	sarcoma antigen 2, pseudogene	pseudogene
SAGE3P	sarcoma antigen 3, pseudogene	pseudogene
SAGE4P	sarcoma antigen 4, pseudogene	pseudogene
SAI1	suppression of anchorage independence 1	phenotype only
SALL1	spalt like transcription factor 1	gene with protein product
SALL1P1	spalt like transcription factor 1 pseudogene 1	pseudogene
SALL2	spalt like transcription factor 2	gene with protein product
SALL3	spalt like transcription factor 3	gene with protein product
SALL4	spalt like transcription factor 4	gene with protein product
SALL4P1	spalt like transcription factor 4 pseudogene 1	pseudogene
SALL4P2	spalt like transcription factor 4 pseudogene 2	pseudogene
SALL4P3	spalt like transcription factor 4 pseudogene 3	pseudogene
SALL4P4	spalt like transcription factor 4 pseudogene 4	pseudogene
SALL4P5	spalt like transcription factor 4 pseudogene 5	pseudogene
SALL4P6	spalt like transcription factor 4 pseudogene 6	pseudogene
SALL4P7	spalt like transcription factor 4 pseudogene 7	pseudogene
SALRNA1	senescence associated long non-coding RNA 1	RNA, long non-coding
SALRNA2	senescence associated long non-coding RNA 2	RNA, long non-coding
SALRNA3	senescence associated long non-coding RNA 3	RNA, long non-coding
SAMD1	sterile alpha motif domain containing 1	gene with protein product
SAMD3	sterile alpha motif domain containing 3	gene with protein product
SAMD4A	sterile alpha motif domain containing 4A	gene with protein product
SAMD4B	sterile alpha motif domain containing 4B	gene with protein product
SAMD5	sterile alpha motif domain containing 5	gene with protein product
SAMD7	sterile alpha motif domain containing 7	gene with protein product
SAMD8	sterile alpha motif domain containing 8	gene with protein product
SAMD9	sterile alpha motif domain containing 9	gene with protein product
SAMD9L	sterile alpha motif domain containing 9 like	gene with protein product
SAMD10	sterile alpha motif domain containing 10	gene with protein product
SAMD11	sterile alpha motif domain containing 11	gene with protein product
SAMD11P1	sterile alpha motif domain containing 11 pseudogene 1	pseudogene
SAMD12	sterile alpha motif domain containing 12	gene with protein product
SAMD12-AS1	SAMD12 antisense RNA 1	RNA, long non-coding
SAMD13	sterile alpha motif domain containing 13	gene with protein product
SAMD14	sterile alpha motif domain containing 14	gene with protein product
SAMD15	sterile alpha motif domain containing 15	gene with protein product
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	gene with protein product
SAMM50	SAMM50 sorting and assembly machinery component	gene with protein product
SAMM50P1	SAMM50 sorting and assembly machinery component pseudogene 1	pseudogene
SAMMSON	survival associated mitochondrial melanoma specific oncogenic non-coding RNA	RNA, long non-coding
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	gene with protein product
SAMSN1-AS1	SAMSN1 antisense RNA 1	RNA, long non-coding
SAP1	symbol withdrawn, see [HGNC:9498](/data/gene-symbol-report/#!/hgnc_id/HGNC:9498)	unknown
SAP2	symbol withdrawn, see [HGNC:9498](/data/gene-symbol-report/#!/hgnc_id/HGNC:9498)	unknown
SAP18	Sin3A associated protein 18	gene with protein product
SAP18P1	SAP18 pseudogene 1	pseudogene
SAP18P2	SAP18 pseudogene 2	pseudogene
SAP18P3	SAP18 pseudogene 3	pseudogene
SAP25	Sin3A associated protein 25	gene with protein product
SAP30	Sin3A associated protein 30	gene with protein product
SAP30-DT	SAP30 divergent transcript	RNA, long non-coding
SAP30BP	SAP30 binding protein	gene with protein product
SAP30L	SAP30 like	gene with protein product
SAP30L-AS1	SAP30L antisense RNA 1 (head to head)	RNA, long non-coding
SAP130	Sin3A associated protein 130	gene with protein product
SAPCD1	suppressor APC domain containing 1	gene with protein product
SAPCD1-AS1	SAPCD1 antisense RNA 1	RNA, long non-coding
SAPCD2	suppressor APC domain containing 2	gene with protein product
SAPCD2P1	suppressor APC domain containing 2 pseudogene 1	pseudogene
SAPCD2P2	suppressor APC domain containing 2 pseudogene 2	pseudogene
SAPCD2P3	suppressor APC domain containing 2 pseudogene 3	pseudogene
SAPCD2P4	suppressor APC domain containing 2 pseudogene 4	pseudogene
SAPK3	symbol withdrawn, see [HGNC:6874](/data/gene-symbol-report/#!/hgnc_id/HGNC:6874)	unknown
SAR1A	secretion associated Ras related GTPase 1A	gene with protein product
SAR1AP1	secretion associated Ras related GTPase 1A pseudogene 1	pseudogene
SAR1AP2	secretion associated Ras related GTPase 1A pseudogene 2	pseudogene
SAR1AP3	secretion associated Ras related GTPase 1A pseudogene 3	pseudogene
